Timestamp,Object,Confidence,Is Weapon,Location X,Location Y
05:30:09,Person,0.699,NO,1843.5,249.75
05:30:09,Person,0.69,NO,555.75,1023.75
05:30:09,Person,0.673,NO,415.5,562.5
05:30:09,Person,0.618,NO,1051.5,341.25
05:30:09,Person,0.563,NO,1400.25,90.0
05:30:09,Person,0.545,NO,362.62,546.0
05:30:09,Person,0.539,NO,1891.5,256.12
05:30:09,Person,0.523,NO,465.0,537.0
05:30:09,Person,0.5,NO,63.09,23.62
05:30:09,Person,0.482,NO,708.75,73.5
05:30:10,Person,0.873,NO,495.75,957.0
05:30:10,Person,0.86,NO,1005.0,1014.56
05:30:10,Person,0.822,NO,1251.0,709.5
05:30:10,Person,0.796,NO,774.75,794.25
05:30:10,Person,0.794,NO,942.0,437.25
05:30:10,Person,0.788,NO,733.5,369.0
05:30:10,Person,0.764,NO,420.0,556.5
05:30:10,Person,0.747,NO,74.25,182.62
05:30:10,Person,0.747,NO,1815.0,481.5
05:30:10,Person,0.745,NO,1265.25,262.5
05:30:10,Person,0.733,NO,1044.0,835.5
05:30:10,Person,0.73,NO,241.12,993.0
05:30:10,Person,0.718,NO,1501.5,97.88
05:30:10,Person,0.66,NO,1423.5,1032.75
05:30:10,Person,0.634,NO,1095.0,177.0
05:30:10,Person,0.625,NO,230.25,187.88
05:30:10,Person,0.622,NO,1050.0,279.38
05:30:10,Person,0.545,NO,470.25,532.5
05:30:10,Person,0.506,NO,1401.0,83.62
05:30:11,Person,0.847,NO,955.5,514.5
05:30:11,Person,0.797,NO,772.5,686.25
05:30:11,Person,0.771,NO,1272.0,198.75
05:30:11,Person,0.763,NO,1543.5,986.25
05:30:11,Person,0.749,NO,733.5,304.12
05:30:11,Person,0.73,NO,73.97,182.25
05:30:11,Person,0.724,NO,365.06,534.0
05:30:11,Person,0.7,NO,417.75,558.0
05:30:11,Person,0.695,NO,1058.25,969.0
05:30:11,Person,0.623,NO,1821.0,549.0
05:30:11,Person,0.592,NO,1051.5,226.5
05:30:11,Person,0.585,NO,1782.0,160.5
05:30:11,Person,0.583,NO,469.5,535.5
05:30:11,Person,0.575,NO,1401.0,84.38
05:30:11,Person,0.574,NO,1469.25,61.12
05:30:11,Person,0.547,NO,1086.0,132.75
05:30:11,Person,0.49,NO,1015.5,140.62
05:30:11,Person,0.483,NO,957.0,136.5
05:30:11,Person,0.48,NO,1270.5,820.5
05:30:11,Person,0.468,NO,1264.5,941.25
05:30:11,Dog,0.454,NO,1819.5,550.5
05:30:12,Person,0.838,NO,963.0,603.0
05:30:12,Person,0.829,NO,1298.25,972.0
05:30:12,Person,0.82,NO,1563.0,844.5
05:30:12,Person,0.812,NO,1144.5,822.0
05:30:12,Person,0.764,NO,777.75,593.25
05:30:12,Person,0.754,NO,70.22,183.75
05:30:12,Person,0.751,NO,750.0,257.62
05:30:12,Person,0.749,NO,1287.75,144.75
05:30:12,Person,0.687,NO,1848.0,637.5
05:30:12,Person,0.676,NO,1494.0,1027.5
05:30:12,Person,0.67,NO,1696.5,132.0
05:30:12,Person,0.664,NO,957.75,179.25
05:30:12,Person,0.661,NO,33.19,676.5
05:30:12,Person,0.617,NO,1059.75,1045.5
05:30:12,Person,0.603,NO,1851.0,94.5
05:30:12,Person,0.603,NO,198.75,267.75
05:30:12,Person,0.579,NO,363.0,532.5
05:30:12,Person,0.545,NO,1875.0,156.38
05:30:12,Person,0.545,NO,1018.5,180.75
05:30:12,Person,0.543,NO,1401.0,87.0
